PeakID (cmd=annotatePeaks.pl hg19.bed hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
rs7602028	chr2	16016504	16016503	+	0	NA	Intergenic	AluJo|SINE|Alu	-44018	NR_125783	103752554	Hs.269571	NR_125783	ENSG00000223850	MYCNUT	MYCNUN|lncUSMycN	MYCN upstream transcript	ncRNA
rs10749415	chr10	123185304	123185303	+	0	NA	Intergenic	Intergenic	105525	NM_001320654	2263	Hs.533683	NM_000141	ENSG00000066468	FGFR2	BBDS|BEK|BFR-1|CD332|CEK3|CFD1|ECT1|JWS|K-SAM|KGFR|TK14|TK25	fibroblast growth factor receptor 2	protein-coding
rs2293607	chr3	169482336	169482335	+	0	NA	TTS (NR_001566)	TTS (NR_001566)	513	NR_001566	7012	Hs.436182	NR_001566	ENSG00000277925	TERC	DKCA1|PFBMFT2|SCARNA19|TR|TRC3|hTR	telomerase RNA component	ncRNA
rs4714485	chr6	41536588	41536587	+	0	NA	intron (NM_001012426, intron 2 of 16)	intron (NM_001012426, intron 2 of 16)	-20228	NR_126415	101060264	Hs.571099	NR_126415	ENSG00000234753	FOXP4-AS1	-	FOXP4 antisense RNA 1	ncRNA
rs9292122	chr5	56087911	56087910	+	0	NA	Intergenic	AluSp|SINE|Alu	-19212	NM_001365184	105378979		NM_001365184		LOC105378979	-	growth/differentiation factor 3	protein-coding
rs10993994	chr10	51549497	51549496	+	0	NA	promoter-TSS (NM_002443)	promoter-TSS (NM_002443)	-57	NM_138634	4477	Hs.255462	NM_002443	ENSG00000263639	MSMB	HPC13|IGBF|MSP|MSPB|PN44|PRPS|PSP|PSP-94|PSP57|PSP94	microseminoprotein beta	protein-coding
rs11863709	chr16	57654577	57654576	+	0	NA	intron (NM_001370441, intron 1 of 13)	intron (NM_001370441, intron 1 of 13)	618	NM_001370453	9289	Hs.513633	NM_005682	ENSG00000205336	ADGRG1	BFPP|BPPR|GPR56|TM7LN4|TM7XN1	adhesion G protein-coupled receptor G1	protein-coding
rs11673591	chr19	41985932	41985931	+	0	NA	intron (NR_136334, intron 1 of 2)	L1PA12|LINE|L1	20628	NR_136334	100505495	Hs.648878	NR_040109	ENSG00000267107	PCAT19	LINC01190	prostate cancer associated transcript 19	ncRNA
rs11876000	chr18	73035514	73035513	+	0	NA	Intergenic	Intergenic	104145	NM_001303482	284274	Hs.666744	NM_001037331	ENSG00000206026	SMIM21	C18orf62	small integral membrane protein 21	protein-coding
rs6955627	chr7	92577761	92577760	+	0	NA	Intergenic	Intergenic	-111819	NM_001145306	1021	Hs.119882	NM_001259	ENSG00000105810	CDK6	MCPH12|PLSTIRE	cyclin dependent kinase 6	protein-coding
rs10885396	chr10	114711756	114711755	+	0	NA	intron (NM_001198530, intron 3 of 10)	C-rich|Low_complexity|Low_complexity	1746	NM_001146285	6934	Hs.593995	NM_030756	ENSG00000148737	TCF7L2	TCF-4|TCF4	transcription factor 7 like 2	protein-coding
rs72725879	chr8	128103970	128103969	+	0	NA	non-coding (NR_109833, exon 1 of 1)	non-coding (NR_109833, exon 1 of 1)	-9503	NR_119373	103164619	Hs.571401	NR_119373	ENSG00000254166	PCAT2	CARLO4|CARLo-4|PCA2|TCONS_00015167	prostate cancer associated transcript 2	ncRNA
rs2811476	chr3	127898502	127898501	+	0	NA	intron (NM_021937, intron 1 of 6)	intron (NM_021937, intron 1 of 6)	-25744	NM_001319086	8607	Hs.272822	NM_003707	ENSG00000175792	RUVBL1	ECP-54|ECP54|INO80H|NMP 238|NMP238|PONTIN|Pontin52|RVB1|TIH1|TIP49|TIP49A	RuvB like AAA ATPase 1	protein-coding
rs834608	chr7	47451919	47451918	+	0	NA	intron (NM_022748, intron 12 of 30)	intron (NM_022748, intron 12 of 30)	52483	NR_145813	109623468		NR_145813		SNORD151	-	small nucleolar RNA, C/D box 151	snoRNA
rs9306894	chr2	20878106	20878105	+	0	NA	3' UTR (NM_182828, exon 2 of 2)	3' UTR (NM_182828, exon 2 of 2)	11201	NM_182828	151449	Hs.447688	NM_182828	ENSG00000143869	GDF7	BMP12	growth differentiation factor 7	protein-coding
rs9275160	chr6	32652621	32652620	+	0	NA	Intergenic	Intergenic	-18186	NM_001243961	3119	Hs.409934	NM_002123	ENSG00000179344	HLA-DQB1	CELIAC1|HLA-DQB|IDDM1	major histocompatibility complex, class II, DQ beta 1	protein-coding
rs4558107	chr10	122794927	122794926	+	0	NA	Intergenic	LTR12C|LTR|ERV1	184052	NM_018117	55717	Hs.144447	NM_018117	ENSG00000120008	WDR11	BRWD2|DR11|HH14|SRI1|WDR15	WD repeat domain 11	protein-coding
rs12665509	chr6	21878850	21878849	+	0	NA	intron (NR_015410, intron 4 of 11)	L1PB1|LINE|L1	212205	NR_015410	401237	Hs.712707	NR_015410		CASC15	CANT|LINC00340|lnc-SOX4-1	cancer susceptibility 15	ncRNA
rs147847496	chr1	155118589	155118588	+	0	NA	Intergenic	AluSc5|SINE|Alu	-5581	NM_153741	54344	Hs.110477	NM_018973	ENSG00000179085	DPM3	CDG1O	dolichyl-phosphate mannosyltransferase subunit 3, regulatory	protein-coding
rs544780844	chr1	46251656	46251655	+	0	NA	Intergenic	AluSg|SINE|Alu	-17624	NM_001324320	23139	Hs.319481	NM_015112	ENSG00000086015	MAST2	MAST205|MTSSK	microtubule associated serine/threonine kinase 2	protein-coding
rs6550597	chr3	18738941	18738940	+	0	NA	Intergenic	HAL1|LINE|L1	-251856	NM_001322872	6304	Hs.517717	NM_002971	ENSG00000182568	SATB1	-	SATB homeobox 1	protein-coding
rs13142786	chr4	74477136	74477135	+	0	NA	intron (NM_001270391, intron 2 of 9)	intron (NM_001270391, intron 2 of 9)	9018	NM_177532	166824	Hs.529677	NM_177532	ENSG00000169435	RASSF6	-	Ras association domain family member 6	protein-coding
rs6571758	chr14	37136195	37136194	+	0	NA	intron (NM_006194, intron 4 of 4)	CpG-6963	9421	NM_006194	5083	Hs.132576	NM_006194	ENSG00000198807	PAX9	STHAG3	paired box 9	protein-coding
rs78416326	chr3	170074518	170074517	+	0	NA	promoter-TSS (NM_001145098)	promoter-TSS (NM_001145098)	-986	NM_001145098	6498	Hs.536655	NM_005414	ENSG00000136603	SKIL	SNO|SnoA|SnoI|SnoN	SKI like proto-oncogene	protein-coding
rs75823044	chr13	110360785	110360784	+	0	NA	Intergenic	Intergenic	-19837	NR_103846	101409253	Hs.578072	NR_103846	ENSG00000234854	LINC00676	-	long intergenic non-protein coding RNA 676	ncRNA
rs1881502	chr11	1507513	1507512	+	0	NA	intron (NM_001172223, intron 1 of 4)	intron (NM_001172223, intron 1 of 4)	497	NM_001172223	81532	Hs.370360	NM_053005	ENSG00000182208	MOB2	HCCA2	MOB kinase activator 2	protein-coding
rs2572375	chr8	11217456	11217455	+	0	NA	intron (NR_001578, intron 4 of 8)	intron (NR_001578, intron 4 of 8)	-8456	NR_026814	83656	Hs.583896	NM_054017	ENSG00000184608	FAM167A-AS1	C8orf12	FAM167A antisense RNA 1	ncRNA
rs17694493	chr9	22041999	22041998	+	0	NA	intron (NR_003529, intron 3 of 18)	intron (NR_003529, intron 3 of 18)	-32686	NM_078487	1030	Hs.72901	NM_004936	ENSG00000147883	CDKN2B	CDK4I|INK4B|MTS2|P15|TP15|p15INK4b	cyclin dependent kinase inhibitor 2B	protein-coding
rs28514770	chr2	43851283	43851282	+	0	NA	Intergenic	AluSx3|SINE|Alu	-13117	NM_172069	130271	Hs.164162	NM_172069	ENSG00000152527	PLEKHH2	PLEKHH1L	pleckstrin homology, MyTH4 and FERM domain containing H2	protein-coding
rs76832527	chr2	242157242	242157241	+	0	NA	exon (NM_001370694, exon 20 of 25)	exon (NM_001370694, exon 20 of 25)	29149	NM_001370694	50636	Hs.163909	NM_001001666	ENSG00000146205	ANO7	D-TMPP|DTMPP|IPCA-5|IPCA5|NGEP|PCANAP5|PCANAP5L|TMEM16G	anoctamin 7	protein-coding
rs138466039	chr11	125054794	125054793	+	0	NA	intron (NM_022062, intron 1 of 12)	intron (NM_022062, intron 1 of 12)	20146	NM_022062	63876	Hs.278564	NM_022062	ENSG00000165495	PKNOX2	PREP2	PBX/knotted 1 homeobox 2	protein-coding
rs12549761	chr8	128540777	128540776	+	0	NA	Intergenic	Intergenic	-46392	NR_024393	727677	Hs.673248	NR_024393	ENSG00000246228	CASC8	CARLO1|CARLo-1|LINC00860	cancer susceptibility 8	ncRNA
rs12785905	chr11	66951966	66951965	+	0	NA	intron (NR_027473, intron 5 of 20)	AluSg|SINE|Alu	-55520	NM_001256405	22992	Hs.124147	NM_012308	ENSG00000173120	KDM2A	CXXC8|FBL11|FBL7|FBXL11|JHDM1A|LILINA	lysine demethylase 2A	protein-coding
rs9615099	chr22	45698150	45698149	+	0	NA	Intergenic	AluSz6|SINE|Alu	-6692	NR_146323	55007	Hs.265018	NM_017911	ENSG00000100376	FAM118A	C22orf8	family with sequence similarity 118 member A	protein-coding
rs1811698	chr1	150772614	150772613	+	0	NA	intron (NM_000396, intron 5 of 7)	AluY|SINE|Alu	8123	NM_000396	1513	Hs.632466	NM_000396	ENSG00000143387	CTSK	CTS02|CTSO|CTSO1|CTSO2|PKND|PYCD	cathepsin K	protein-coding
rs28709974	chr16	79847633	79847632	+	0	NA	Intergenic	Intergenic	18486	NR_104661	101928248	Hs.659802	NR_104660	ENSG00000260876	LINC01229	-	long intergenic non-protein coding RNA 1229	ncRNA
rs3018690	chr11	68882927	68882926	+	0	NA	Intergenic	Intergenic	32282	NR_036122	100422846		NR_036122	ENSG00000265539	MIR3164	-	microRNA 3164	ncRNA
rs11599847	chr10	47599030	47599029	+	0	NA	intron (NR_103828, intron 2 of 2)	L1PB4|LINE|L1	41815	NR_103828	100996567	Hs.546758	NR_103827		ANTXRLP1	-	ANTXR like pseudogene 1	pseudo
rs143745027	chr3	87144018	87144017	+	0	NA	non-coding (NR_047469, exon 2 of 2)	non-coding (NR_047469, exon 2 of 2)	5587	NR_104153	100846978	Hs.570649	NR_047469	ENSG00000281392	LINC00506	-	long intergenic non-protein coding RNA 506	ncRNA
rs12262998	chr10	104428717	104428716	+	0	NA	Intergenic	Intergenic	24464	NR_144321	81603	Hs.336810	NM_030912	ENSG00000171206	TRIM8	GERP|RNF27	tripartite motif containing 8	protein-coding
rs147762399	chr4	152030341	152030340	+	0	NA	Intergenic	AluY|SINE|Alu	5361	NR_000007	8944		NR_000007	ENSG00000208797	SNORD73A	RNU73|RNU73A|U73|U73a	small nucleolar RNA, C/D box 73A	snoRNA
rs11125927	chr2	62752976	62752975	+	0	NA	Intergenic	Intergenic	-19645	NM_198276	200728	Hs.308028	NM_198276	ENSG00000186889	TMEM17	-	transmembrane protein 17	protein-coding
rs56103503	chr1	154980352	154980351	+	0	NA	intron (NR_049765, intron 2 of 3)	intron (NR_049765, intron 2 of 3)	5245	NM_001252406	51043	Hs.729279	NM_001252406	ENSG00000160685	ZBTB7B	CKROX|THPOK|ZBTB15|ZFP-67|ZFP67|ZNF857B|c-KROX|hcKROX	zinc finger and BTB domain containing 7B	protein-coding
rs1004030	chr14	23305650	23305649	+	0	NA	promoter-TSS (NM_004995)	promoter-TSS (NM_004995)	-145	NM_004995	4323	Hs.2399	NM_004995	ENSG00000157227	MMP14	MMP-14|MMP-X1|MT-MMP|MT-MMP 1|MT1-MMP|MT1MMP|MTMMP1|WNCHRS	matrix metallopeptidase 14	protein-coding
rs7650602	chr3	141147415	141147414	+	0	NA	intron (NM_001350100, intron 3 of 3)	AluSq2|SINE|Alu	26223	NM_001350100	253461	Hs.518301	NM_152535	ENSG00000177311	ZBTB38	CIBZ|PPP1R171|ZNF921	zinc finger and BTB domain containing 38	protein-coding
rs73909841	chr20	49548808	49548807	+	0	NA	promoter-TSS (NM_001282531)	promoter-TSS (NM_001282531)	-833	NM_015339	23394	Hs.293736	NM_015339	ENSG00000101126	ADNP	ADNP1|HVDAS|MRD28	activity dependent neuroprotector homeobox	protein-coding
rs17464492	chr8	128342867	128342866	+	0	NA	intron (NR_117099, intron 2 of 3)	intron (NR_117099, intron 2 of 3)	-69778	NR_109834	101805488	Hs.745578	NR_109834	ENSG00000280997	CCAT2	LINC00873|NCCP1	colon cancer associated transcript 2	ncRNA
rs11263763	chr17	36103566	36103565	+	0	NA	intron (NM_001304286, intron 1 of 6)	CpG	1485	NM_001304286	6928	Hs.191144	NM_000458	ENSG00000275410	HNF1B	FJHN|HNF-1-beta|HNF-1B|HNF1beta|HNF2|HPC11|LF-B3|LFB3|MODY5|TCF-2|TCF2|VHNF1	HNF1 homeobox B	protein-coding
rs7542260	chr1	5743197	5743196	+	0	NA	Intergenic	Intergenic	179605	NR_039838	100616421		NR_039838	ENSG00000264101	MIR4689	mir-4689	microRNA 4689	ncRNA
rs9978557	chr21	42882463	42882462	+	0	NA	Intergenic	MLT2B1|LTR|ERVL	-2377	NM_005656	7113	Hs.439309	NM_005656	ENSG00000184012	TMPRSS2	PP9284|PRSS10	transmembrane serine protease 2	protein-coding
rs10941370	chr5	37833420	37833419	+	0	NA	intron (NM_001278098, intron 1 of 2)	intron (NM_001278098, intron 1 of 2)	1505	NM_001278098	2668	Hs.248114	NM_000514	ENSG00000168621	GDNF	ATF|ATF1|ATF2|HFB1-GDNF|HSCR3	glial cell derived neurotrophic factor	protein-coding
rs371707439	chrX	70139909	70139908	+	0	NA	Intergenic	AluSx|SINE|Alu	11038	NM_001048164	84889	Hs.175220	NM_032803	ENSG00000165349	SLC7A3	ATRC3|CAT-3|CAT3	solute carrier family 7 member 3	protein-coding
rs74702681	chr2	66652886	66652885	+	0	NA	non-coding (NR_046438, exon 4 of 4)	non-coding (NR_046438, exon 4 of 4)	7717	NR_046438	730198	Hs.526753	NR_046438		MEIS1-AS3	-	MEIS1 antisense RNA 3	ncRNA
rs11701433	chr21	40296412	40296411	+	0	NA	intron (NR_120405, intron 1 of 3)	AluY|SINE|Alu	13942	NR_120405	400867	Hs.689509	NR_120405		LOC400867	-	uncharacterized LOC400867	ncRNA
rs9686557	chr5	172959031	172959030	+	0	NA	Intergenic	Intergenic	-47607	NR_027108	285593	Hs.409730	NR_027108	ENSG00000253955	LOC285593	-	uncharacterized LOC285593	ncRNA
rs78809737	chr8	128104219	128104218	+	0	NA	non-coding (NR_109833, exon 1 of 1)	non-coding (NR_109833, exon 1 of 1)	-9752	NR_119373	103164619	Hs.571401	NR_119373	ENSG00000254166	PCAT2	CARLO4|CARLo-4|PCA2|TCONS_00015167	prostate cancer associated transcript 2	ncRNA
rs5972255	chrX	30896321	30896320	+	0	NA	intron (NM_152787, intron 1 of 10)	L1ME3A|LINE|L1	11051	NM_152787	257397	Hs.188256	NM_152787	ENSG00000157625	TAB3	MAP3K7IP3|NAP1	TGF-beta activated kinase 1 (MAP3K7) binding protein 3	protein-coding
rs10127983	chr1	153923277	153923276	+	0	NA	intron (NM_181715, intron 11 of 13)	intron (NM_181715, intron 11 of 13)	-4082	NM_014856	9909	Hs.744878	NM_014856	ENSG00000198837	DENND4B	KIAA0476	DENN domain containing 4B	protein-coding
rs3787099	chr20	62307518	62307517	+	0	NA	intron (NM_016434, intron 10 of 34)	AluJb|SINE|Alu	18354	NM_016434	51750	Hs.745057	NM_016434	ENSG00000258366	RTEL1	C20orf41|DKCA4|DKCB5|NHL|PFBMFT3|RTEL	regulator of telomere elongation helicase 1	protein-coding
rs12769682	chr10	126697495	126697494	+	0	NA	intron (NM_001329, intron 3 of 10)	LTR10C|LTR|ERV1	-2907	NM_001363508	1488	Hs.501345	NM_001329	ENSG00000175029	CTBP2	-	C-terminal binding protein 2	protein-coding
rs6003062	chr22	43499742	43499741	+	0	NA	Intergenic	AluSx3|SINE|Alu	-7015	NM_001197	638	Hs.475055	NM_001197	ENSG00000100290	BIK	BIP1|BP4|NBK	BCL2 interacting killer	protein-coding
rs7489409	chr13	73716862	73716861	+	0	NA	Intergenic	AluSp|SINE|Alu	83718	NM_001730	688	Hs.508234	NM_001730	ENSG00000102554	KLF5	BTEB2|CKLF|IKLF	Kruppel like factor 5	protein-coding
rs8023793	chr15	66942094	66942093	+	0	NA	intron (NR_110372, intron 1 of 4)	intron (NR_110372, intron 1 of 4)	-52481	NM_005585	4091	Hs.153863	NM_005585	ENSG00000137834	SMAD6	AOVD2|HsT17432|MADH6|MADH7	SMAD family member 6	protein-coding
rs565189650	chr17	47398246	47398245	+	0	NA	intron (NM_014897, intron 1 of 5)	AluSx|SINE|Alu	-32429	NR_106745	102465137		NR_106745	ENSG00000273500	MIR6129	hsa-mir-6129	microRNA 6129	ncRNA
rs143655302	chr9	110290218	110290217	+	0	NA	Intergenic	AluSz|SINE|Alu	-38167	NM_001314052	9314	Hs.376206	NM_004235	ENSG00000136826	KLF4	EZF|GKLF	Kruppel like factor 4	protein-coding
rs17886163	chr22	29091148	29091147	+	0	NA	exon (NM_001349956, exon 11 of 14)	exon (NM_001349956, exon 11 of 14)	-15294	NM_001145418	23331	Hs.387856	NM_015281	ENSG00000100154	TTC28	TPRBK	tetratricopeptide repeat domain 28	protein-coding
rs56391074	chr1	88210716	88210715	+	0	NA	Intergenic	Intergenic	-373377	NR_038324	100505768	Hs.125247	NR_038324	ENSG00000227290	LINC01364	-	long intergenic non-protein coding RNA 1364	ncRNA
rs2736098	chr5	1294087	1294086	+	0	NA	exon (NM_001193376, exon 2 of 15)	exon (NM_001193376, exon 2 of 15)	1076	NM_198253	7015	Hs.492203	NM_198253	ENSG00000164362	TERT	CMM9|DKCA2|DKCB4|EST2|PFBMFT1|TCS1|TP2|TRT|hEST2|hTRT	telomerase reverse transcriptase	protein-coding
rs878987	chr11	134266373	134266372	+	0	NA	intron (NM_054025, intron 1 of 5)	MIRb|SINE|MIR	15440	NM_018644	27087	Hs.381050	NM_018644	ENSG00000109956	B3GAT1	CD57|GLCATP|GLCUATP|HNK1|LEU7|NK-1|NK1	beta-1,3-glucuronyltransferase 1	protein-coding
rs61735792	chr21	42866333	42866332	+	0	NA	exon (NM_001135099, exon 3 of 14)	exon (NM_001135099, exon 3 of 14)	13660	NM_001135099	7113	Hs.439309	NM_005656	ENSG00000184012	TMPRSS2	PP9284|PRSS10	transmembrane serine protease 2	protein-coding
rs2242652	chr5	1280029	1280028	+	0	NA	intron (NM_198253, intron 4 of 15)	intron (NM_198253, intron 4 of 15)	15134	NM_198253	7015	Hs.492203	NM_198253	ENSG00000164362	TERT	CMM9|DKCA2|DKCB4|EST2|PFBMFT1|TCS1|TP2|TRT|hEST2|hTRT	telomerase reverse transcriptase	protein-coding
rs4646284	chr6	160581544	160581543	+	0	NA	Intergenic	Intergenic	38680	NM_153187	6580	Hs.117367	NM_003057	ENSG00000175003	SLC22A1	HOCT1|OCT1|oct1_cds	solute carrier family 22 member 1	protein-coding
rs555607708	chr22	29091857	29091856	+	0	NA	exon (NM_001349956, exon 10 of 14)	exon (NM_001349956, exon 10 of 14)	-16003	NM_001145418	23331	Hs.387856	NM_015281	ENSG00000100154	TTC28	TPRBK	tetratricopeptide repeat domain 28	protein-coding
rs6039055	chr20	867325	867324	+	0	NA	intron (NM_001322809, intron 3 of 7)	MER47A|DNA|TcMar-Tigger	29653	NM_001322809	51378	Hs.278973	NM_015985	ENSG00000101280	ANGPT4	ANG3|ANG4	angiopoietin 4	protein-coding
rs2018336	chr6	11217898	11217897	+	0	NA	intron (NM_001142393, intron 2 of 7)	MIR3|SINE|MIR	15004	NM_182966	4739	Hs.37982	NM_006403	ENSG00000111859	NEDD9	CAS-L|CAS2|CASL|CASS2|HEF1	neural precursor cell expressed, developmentally down-regulated 9	protein-coding
rs71595003	chr5	1292119	1292118	+	0	NA	intron (NM_198253, intron 2 of 15)	CpG	3044	NM_198253	7015	Hs.492203	NM_198253	ENSG00000164362	TERT	CMM9|DKCA2|DKCB4|EST2|PFBMFT1|TCS1|TP2|TRT|hEST2|hTRT	telomerase reverse transcriptase	protein-coding
rs35159226	chr6	26649831	26649830	+	0	NA	intron (NM_001242799, intron 1 of 2)	L1MC1|LINE|L1	10144	NM_024639	79692	Hs.126280	NM_024639	ENSG00000181315	ZNF322	HCG12|ZNF322A|ZNF388|ZNF489	zinc finger protein 322	protein-coding
rs72725734	chr4	146879238	146879237	+	0	NA	Intergenic	Intergenic	-19262	NM_178835	152485	Hs.133916	NM_178835	ENSG00000151612	ZNF827	-	zinc finger protein 827	protein-coding
rs607518	chr1	150954672	150954671	+	0	NA	promoter-TSS (NM_003568)	promoter-TSS (NM_003568)	-97	NM_003568	8416	Hs.3346	NM_003568	ENSG00000143412	ANXA9	ANX31	annexin A9	protein-coding
rs5943724	chrX	52695896	52695895	+	0	NA	Intergenic	AluSc8|SINE|Alu	-11945	NM_173358	280658	Hs.558712	NM_173358	ENSG00000187754	SSX7	-	SSX family member 7	protein-coding
rs77559646	chr2	242135266	242135265	+	0	NA	exon (NM_001001666, exon 4 of 4)	exon (NM_001001666, exon 4 of 4)	7173	NM_001370694	50636	Hs.163909	NM_001001666	ENSG00000146205	ANO7	D-TMPP|DTMPP|IPCA-5|IPCA5|NGEP|PCANAP5|PCANAP5L|TMEM16G	anoctamin 7	protein-coding
rs139135938	chr20	61001062	61001061	+	0	NA	intron (NM_080833, intron 1 of 13)	(CAG)n|Simple_repeat|Simple_repeat	1534	NM_080833	140893	Hs.180374	NM_080833	ENSG00000130701	RBBP8NL	C20orf151	RBBP8 N-terminal like	protein-coding
rs8005621	chr14	61106700	61106699	+	0	NA	non-coding (NR_126480, exon 1 of 1)	non-coding (NR_126480, exon 1 of 1)	765	NR_126480	104548971		NR_126480		SALRNA1	SAL-RNA1|XLOC_023166	senescence associated long non-coding RNA 1	ncRNA
rs6984837	chr8	127901650	127901649	+	0	NA	Intergenic	Intergenic	-123750	NR_045262	100750225	Hs.571530	NR_045262	ENSG00000253438	PCAT1	PCA1|PCAT-1	prostate cancer associated transcript 1	ncRNA
rs7968403	chr12	65012825	65012824	+	0	NA	intron (NM_178169, intron 1 of 4)	MER33|DNA|hAT-Charlie	-3465	NR_030347	693129		NR_030347	ENSG00000207546	MIR548C	MIRN548C	microRNA 548c	ncRNA
rs1978060	chr22	19749526	19749525	+	0	NA	intron (NM_005992, intron 3 of 9)	intron (NM_005992, intron 3 of 9)	5299	NM_080647	6899	Hs.173984	NM_005992	ENSG00000184058	TBX1	CAFS|CATCH22|CTHM|DGCR|DGS|DORV|TBX1C|TGA|VCF|VCFS	T-box transcription factor 1	protein-coding
rs4269363	chr6	21471491	21471490	+	0	NA	Intergenic	AluSq|SINE|Alu	40633	NR_103790	100874531	Hs.112750	NR_103790	ENSG00000280989	LINC00581	linc-MBOAT1-4	long intergenic non-protein coding RNA 581	ncRNA
rs140783917	chr10	122834483	122834482	+	0	NA	Intergenic	AluSx|SINE|Alu	223608	NM_018117	55717	Hs.144447	NM_018117	ENSG00000120008	WDR11	BRWD2|DR11|HH14|SRI1|WDR15	WD repeat domain 11	protein-coding
rs34265760	chr8	128535544	128535543	+	0	NA	Intergenic	AluY|SINE|Alu	-41159	NR_024393	727677	Hs.673248	NR_024393	ENSG00000246228	CASC8	CARLO1|CARLo-1|LINC00860	cancer susceptibility 8	ncRNA
rs201057014	chr8	128325356	128325355	+	0	NA	intron (NR_117100, intron 5 of 5)	L1HS|LINE|L1	68473	NR_117099	103021164	Hs.571531	NR_117099		CASC21	CARLO2|CARLo-2|LINC01244	cancer susceptibility 21	ncRNA
rs7628934	chr3	87175985	87175984	+	0	NA	intron (NR_104153, intron 1 of 2)	intron (NR_104153, intron 1 of 2)	37554	NR_104153	100846978	Hs.570649	NR_047469	ENSG00000281392	LINC00506	-	long intergenic non-protein coding RNA 506	ncRNA
rs7679673	chr4	106061535	106061534	+	0	NA	Intergenic	Intergenic	-5498	NM_017628	54790	Hs.367639	NM_017628	ENSG00000168769	TET2	KIAA1546|MDS	tet methylcytosine dioxygenase 2	protein-coding
rs11686272	chr2	8598445	8598444	+	0	NA	Intergenic	Intergenic	125478	NR_110257	101929567	Hs.634706	NR_110257	ENSG00000236008	LINC01814	-	long intergenic non-protein coding RNA 1814	ncRNA
rs7188897	chr16	54469332	54469331	+	0	NA	Intergenic	Intergenic	-64720	NR_134923	100996345	Hs.112680	NR_134922	ENSG00000261803	LINC02140	-	long intergenic non-protein coding RNA 2140	ncRNA
rs187809440	chr12	53329232	53329231	+	0	NA	intron (NM_001256293, intron 1 of 8)	AluY|SINE|Alu	-8978	NM_001256282	3856	Hs.533782	NM_002273	ENSG00000170421	KRT8	CARD2|CK-8|CK8|CYK8|K2C8|K8|KO	keratin 8	protein-coding
rs2241167	chr9	130430117	130430116	+	0	NA	intron (NM_003165, intron 9 of 19)	intron (NM_003165, intron 9 of 19)	22958	NR_037473	100500872		NR_037473	ENSG00000283874	MIR3911	mir-3911	microRNA 3911	ncRNA
rs12677206	chr8	26063166	26063165	+	0	NA	Intergenic	AluJb|SINE|Alu	-85859	NM_002717	5520	Hs.146339	NM_002717	ENSG00000221914	PPP2R2A	B55A|B55ALPHA|PR52A|PR55A|PR55alpha	protein phosphatase 2 regulatory subunit Balpha	protein-coding
rs6126986	chr20	52464720	52464719	+	0	NA	Intergenic	Intergenic	27529	NR_002189	391257	Hs.449977	NR_002189		SUMO1P1	PIC1L|UBL2|UBL6	SUMO1 pseudogene 1	pseudo
rs74634457	chr15	66835705	66835704	+	0	NA	intron (NM_001287821, intron 17 of 18)	intron (NM_001287821, intron 17 of 18)	22131	NM_207338	197021	Hs.680983	NM_207338	ENSG00000188501	LCTL	KLG|KLPH	lactase like	protein-coding
rs8089411	chr18	51771323	51771322	+	0	NA	Intergenic	Intergenic	-20283	NM_015832	8932	Hs.25674	NM_003927	ENSG00000134046	MBD2	DMTase|NY-CO-41	methyl-CpG binding domain protein 2	protein-coding
rs6927369	chr6	21330690	21330689	+	0	NA	Intergenic	AluSq2|SINE|Alu	181434	NR_103790	100874531	Hs.112750	NR_103790	ENSG00000280989	LINC00581	linc-MBOAT1-4	long intergenic non-protein coding RNA 581	ncRNA
rs10803412	chr1	16376832	16376831	+	0	NA	intron (NM_000085, intron 10 of 19)	intron (NM_000085, intron 10 of 19)	1574	NM_001165945	1188	Hs.352243	NM_000085	ENSG00000184908	CLCNKB	CLCKB|ClC-K2|ClC-Kb	chloride voltage-gated channel Kb	protein-coding
rs35006112	chr3	128213995	128213994	+	0	NA	intron (NR_125398, intron 2 of 2)	intron (NR_125398, intron 2 of 2)	-1964	NM_032638	2624	Hs.367725	NM_032638	ENSG00000179348	GATA2	DCML|IMD21|MONOMAC|NFE1B	GATA binding protein 2	protein-coding
rs3110641	chr17	36047418	36047417	+	0	NA	intron (NM_001304286, intron 6 of 6)	intron (NM_001304286, intron 6 of 6)	-43942	NM_001291476	11056	Hs.590937	NM_007010	ENSG00000278053	DDX52	HUSSY19|ROK1	DExD-box helicase 52	protein-coding
rs138708	chr22	39138333	39138332	+	0	NA	exon (NM_001199580, exon 10 of 19)	exon (NM_001199580, exon 10 of 19)	13139	NM_001199580	25777	Hs.517622	NM_015374	ENSG00000100242	SUN2	UNC84B	Sad1 and UNC84 domain containing 2	protein-coding
rs11228580	chr11	69002343	69002342	+	0	NA	Intergenic	Intergenic	-59280	NM_001300924	26579	Hs.523848	NM_138768	ENSG00000172927	MYEOV	OCIM	myeloma overexpressed	protein-coding
rs2960158	chr17	47380306	47380305	+	0	NA	intron (NM_014897, intron 5 of 5)	AluSz|SINE|Alu	-14489	NR_106745	102465137		NR_106745	ENSG00000273500	MIR6129	hsa-mir-6129	microRNA 6129	ncRNA
